DateAndTime,Millitm, SensingTime ,TagIndex,Val,Status,LeadTime, LeadTime_Epoch ,LeadTimeGap
2023-01-16 09:00:00,544," 1,673,859,600 ",25,1.22874999, ,2023-01-16 09:15:24," 1,673,860,524 ", 924 
2023-01-16 09:00:01,71," 1,673,859,601 ",25,1.22874999, ,2023-01-16 09:15:25," 1,673,860,525 ", 924 
2023-01-16 09:00:08,670," 1,673,859,608 ",25,1.22724998, ,2023-01-16 09:15:32," 1,673,860,532 ", 924 
2023-01-16 09:00:09,310," 1,673,859,609 ",25,1.22724998, ,2023-01-16 09:15:33," 1,673,860,533 ", 924 
2023-01-16 09:00:16,656," 1,673,859,616 ",25,1.225999951, ,2023-01-16 09:15:40," 1,673,860,540 ", 924 
2023-01-16 09:00:17,150," 1,673,859,617 ",25,1.225999951, ,2023-01-16 09:15:41," 1,673,860,541 ", 924 
2023-01-16 09:00:24,794," 1,673,859,624 ",25,1.226750016, ,2023-01-16 09:15:48," 1,673,860,548 ", 924 
2023-01-16 09:00:25,258," 1,673,859,625 ",25,1.226750016, ,2023-01-16 09:15:49," 1,673,860,549 ", 924 
2023-01-16 09:00:33,68," 1,673,859,633 ",25,1.230000019, ,2023-01-16 09:15:57," 1,673,860,557 ", 924 
2023-01-16 09:00:33,606," 1,673,859,633 ",25,1.226999998, ,2023-01-16 09:15:57," 1,673,860,557 ", 924 
2023-01-16 09:00:41,85," 1,673,859,641 ",25,1.228500009, ,2023-01-16 09:16:05," 1,673,860,565 ", 924 
2023-01-16 09:00:41,698," 1,673,859,641 ",25,1.22724998, ,2023-01-16 09:16:05," 1,673,860,565 ", 924 
2023-01-16 09:00:48,839," 1,673,859,648 ",25,1.22300005, ,2023-01-16 09:16:12," 1,673,860,572 ", 924 
2023-01-16 09:00:49,394," 1,673,859,649 ",25,1.22300005, ,2023-01-16 09:16:13," 1,673,860,573 ", 924 
2023-01-16 09:00:56,694," 1,673,859,656 ",25,1.225499988, ,2023-01-16 09:16:20," 1,673,860,580 ", 924 
2023-01-16 09:00:57,385," 1,673,859,657 ",25,1.225499988, ,2023-01-16 09:16:21," 1,673,860,581 ", 924 
2023-01-16 09:01:04,649," 1,673,859,664 ",25,1.225749969, ,2023-01-16 09:16:28," 1,673,860,588 ", 924 
2023-01-16 09:01:12,329," 1,673,859,672 ",25,1.227749944, ,2023-01-16 09:16:36," 1,673,860,596 ", 924 
2023-01-16 09:01:13,123," 1,673,859,673 ",25,1.228500009, ,2023-01-16 09:16:37," 1,673,860,597 ", 924 
2023-01-16 09:01:20,393," 1,673,859,680 ",25,1.223500013, ,2023-01-16 09:16:44," 1,673,860,604 ", 924 
2023-01-16 09:01:20,857," 1,673,859,680 ",25,1.221750021, ,2023-01-16 09:16:44," 1,673,860,604 ", 924 
2023-01-16 09:01:28,344," 1,673,859,688 ",25,1.228999972, ,2023-01-16 09:16:52," 1,673,860,612 ", 924 
2023-01-16 09:01:28,820," 1,673,859,688 ",25,1.231250048, ,2023-01-16 09:16:52," 1,673,860,612 ", 924 
2023-01-16 09:01:36,217," 1,673,859,696 ",25,1.227499962, ,2023-01-16 09:17:00," 1,673,860,620 ", 924 
2023-01-16 09:01:36,787," 1,673,859,696 ",25,1.22724998, ,2023-01-16 09:17:00," 1,673,860,620 ", 924 
2023-01-16 09:01:44,290," 1,673,859,704 ",25,1.230250001, ,2023-01-16 09:17:08," 1,673,860,628 ", 924 
2023-01-16 09:01:44,736," 1,673,859,704 ",25,1.229500055, ,2023-01-16 09:17:08," 1,673,860,628 ", 924 
2023-01-16 09:01:52,208," 1,673,859,712 ",25,1.228000045, ,2023-01-16 09:17:16," 1,673,860,636 ", 924 
2023-01-16 09:01:52,817," 1,673,859,712 ",25,1.225999951, ,2023-01-16 09:17:16," 1,673,860,636 ", 924 
2023-01-16 09:02:00,248," 1,673,859,720 ",25,1.229500055, ,2023-01-16 09:17:24," 1,673,860,644 ", 924 
2023-01-16 09:02:00,899," 1,673,859,720 ",25,1.230250001, ,2023-01-16 09:17:24," 1,673,860,644 ", 924 
2023-01-16 09:02:08,422," 1,673,859,728 ",25,1.226500034, ,2023-01-16 09:17:32," 1,673,860,652 ", 924 
2023-01-16 09:02:09,38," 1,673,859,729 ",25,1.225749969, ,2023-01-16 09:17:33," 1,673,860,653 ", 924 
2023-01-16 09:02:16,236," 1,673,859,736 ",25,1.230000019, ,2023-01-16 09:17:40," 1,673,860,660 ", 924 
2023-01-16 09:02:16,785," 1,673,859,736 ",25,1.230499983, ,2023-01-16 09:17:40," 1,673,860,660 ", 924 
